Time,F_Scale,Location,County,State,Lat,Lon,Comments
0302,UNK,1 ENE LODORE,AMELIA,VA,37.45,-78,AN NWS STORM SURVEY CONFIRMS AN EF1 TORNADO IN AMELIA COUNTY. NUMEROUS TREES WERE UPROOTED... AN ATTACHED CAR PORT WAS DESTROYED AND CEMENT WALLS ON AN OUT BUILDING WER (AKQ)
Time,Speed,Location,County,State,Lat,Lon,Comments
2157,UNK,2 W EHEART,GREENE,VA,38.2,-78.36,MEDIUM SIZE OAK TREE UPROOTED. BASKETBALL HOOP BLOWN OVER. TRAMPOLINE BLOWN A FEW HUNDRED FEET. (LWX)
2232,UNK,2 W EHEART,GREENE,VA,38.2,-78.36,MEDIUM SIZE OAK TREE UPROOTED. BASKETBALL HOOP BLOWN OVER. TRAMPOLINE BLOWN A FEW HUNDRED FEET. (LWX)
2330,UNK,2 SSE BEAVER MILLS,CENTRE,PA,40.87,-78.03,POWER LINES DOWN ACROSS ROAD. (CTP)
2352,UNK,1 ESE SUMMIT,BLAIR,PA,40.45,-78.55,TREE BLOCKING 0LD ROUTE 22 (CTP)
0042,UNK,3 W BLAIRS,PITTSYLVANIA,VA,36.68,-79.43,A COUPLE OF TREES DOWN AT TUSCARORA COUNTRY CLUB. TIME FROM RADAR. (RNK)
0047,UNK,4 E PEMBROKE,ROBESON,NC,34.69,-79.13,WINDS BLEW LAWN FURNITURE AROUND AND PICKED UP A TRAMPOLINE... CAUSING SECONDARY DAMAGE TO TWO MOBILE HOMES... AN OUTBUILDING... AND A VEHICLE. TIME ESTIMATED FROM RADA (ILM)
0055,UNK,MILLHEIM,CENTRE,PA,40.89,-77.48,TREE DOWN AT TOLL HOUSE ROAD AND ON NARROWS ROAD (CTP)
0140,62,FRYING PAN SHOALS BUOY,AMZ270,NC,33.44,-77.74,(ILM)
0205,UNK,BOYDTON,MECKLENBURG,VA,36.67,-78.39,TREES AND POWER LINES DOWN IN BOYDTON. (AKQ)
0222,UNK,LUNENBURG,LUNENBURG,VA,36.96,-78.27,TREES AND POWER LINES DOWN IN LUNENBURG (AKQ)
0241,UNK,1 SE CREWE,NOTTOWAY,VA,37.17,-78.12,TREES REPORTED DOWN NEAR CREWE. (AKQ)
0250,UNK,3 NNW JETERSVILLE,AMELIA,VA,37.34,-78.11,SEVERAL TREES DOWN IN THE AREA OF ST JAMES RD AND AMELIA SPRINGS RD IN ADDITION TO ROCKY FORD RD. (AKQ)
0306,UNK,FORD,DINWIDDIE,VA,37.15,-77.73,TREES AND POWER LINES DOWN AROUND FORD. (AKQ)
0313,75,1 SSW CAPE LOOKOUT LIGH,CARTERET,NC,34.61,-76.53,CAPE LOOKOUT C-MAN STATION (CLKN7) OBSERVED A 75 MPH MARINE THUNDERSTORM WIND GUST. (MHX)
0314,UNK,2 E FLAT ROCK,POWHATAN,VA,37.52,-77.79,TREES DOWN ON OLD CHURCH RD. (AKQ)
0325,UNK,2 SE BON AIR,CHESTERFIELD,VA,37.5,-77.55,SIDING BLOWN OFF A HOUSE AND FENCES BLOWN DOWN. NUMEROUS LARGE LIMBS DOWN. (AKQ)
0334,UNK,CARSON,DINWIDDIE,VA,37.03,-77.41,TREES DOWN IN CARSON. (AKQ)
0336,UNK,STONY CREEK,SUSSEX,VA,36.95,-77.4,TREES DOWN NEAR STONEY CREEK. (AKQ)
0339,UNK,5 NNE BON AIR,CITY OF RICHMOND,VA,37.58,-77.53,TREES DOWN ALONG THREE CHOPT RD EAST OF TUCKAHOE (AKQ)
0357,60,2 NNW OCRACOKE LIGHTHOU,AMZ135,NC,35.13,-75.99,52 KNOT WIND GUST REPORTED AT OCRACOKE WEATHER FLOW STATION. (MHX)
0410,66,1 N FRISCO,AMZ135,NC,35.25,-75.63,57 KNOT WIND GUST REPORTED AT FRISCO WOODS WEATHER FLOW STATION. (MHX)
0417,62,PAMLICO SOUND,AMZ135,NC,35.42,-75.83,54 KNOT WIND GUST REPORTED AT PAMLICO SOUND WEATHER FLOW STATION. (MHX)
0419,77,AVON PIER,DARE,NC,35.35,-75.5,67 KNOT WIND GUST REPORTED AT AVON PIER WEATHER FLOW STATION. (MHX)
Time,Size,Location,County,State,Lat,Lon,Comments
